id,title,slug,description,imageUrl,categoryId,volume,packSize,featured,createdAt,updatedAt
cmfr3ehdh0001eqlcz9jbcgcm,Alma Qabyuyan Maye,alma-qabyuyan-maye-zhhb2k,"Hər növ qabların metal, farfor, şüşə, plastik qabların yuyulmasında bir neçı damcı tökərək istifadə edə bilərsiniz. Qabların məhlul içində yuyulması üçün 5lt suya 1 çay qaşığı mayeni əlavə edin. Əli qurutmur, yağları mükəmməl təmizləyir. Xoşagəlməz qoxunu aradan qaldırır.

Tərkibi:
5%-15% anionik aktiv maddə, 5% qeyri-anionik aktiv maddə, aromatizator, rəngləndirici

Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.

İstehsalçı:
Ə.Müseyib Azər
VÖEN: 2306001922
Ünvan: Gəncə şəh. Zülfü Hacıyev 56
Yararlılıq Müddəti: 3 il",/uploads/1758301646203-alma-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,5L,,0,1758301646452,1758319598380
cmfrdhn3g0001eq1c133otq0d,Limon Qabyuyan Maye,limon-qabyuyan-maye-jp9vfz,"Hər növ qabların metal, farfor, şüşə, plastik qabların yuyulmasında bir neçı damcı tökərək istifadə edə bilərsiniz. Qabların məhlul içində yuyulması üçün 5lt suya 1 çay qaşığı mayeni əlavə edin. Əli qurutmur, yağları mükəmməl təmizləyir. Xoşagəlməz qoxunu aradan qaldırır.

Tərkibi:
5%-15% anionik aktiv maddə, 5% qeyri-anionik aktiv maddə, aromatizator, rəngləndirici

Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.",/uploads/1758318589471-limon-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,5L,,0,1758318589994,1758319590848
cmfrdif940003eq1cbatprnfd,Gül Qabyuyan Maye,gul-qabyuyan-maye-ee2r3f,"Hər növ qabların metal, farfor, şüşə, plastik qabların yuyulmasında bir neçı damcı tökərək istifadə edə bilərsiniz. Qabların məhlul içində yuyulması üçün 5lt suya 1 çay qaşığı mayeni əlavə edin. Əli qurutmur, yağları mükəmməl təmizləyir. Xoşagəlməz qoxunu aradan qaldırır.

Tərkibi:
5%-15% anionik aktiv maddə, 5% qeyri-anionik aktiv maddə, aromatizator, rəngləndirici

Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.

",/uploads/1758318625994-gul-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,5L,,1,1758318626489,1758318626489
cmfrduiyv0005eq1courjkgt8,Limon Duru Ağardıcı,limon-duru-agardici-mor6ry,"Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.",/uploads/1758319190754-limon-duru-agardici-bath.png,cmfr15k310002eqtwu8y96pi4,4L,,1,1758319191175,1758319191175
cmfre24950007eq1cdbx7nbhh,Limon Toz Ağardıcı,limon-toz-agardici-9zidxf,"Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.
",/uploads/1758319544880-limon-toz-agardici-bath.png,cmfr15k380003eqtw5nfkjc73,500g,,1,1758319545353,1758319545353
cmfremihq0009eq1c9eap4yb5,Xlor,xlor-3mvzha,"Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.
",/uploads/1758320496269-xlor.png,cmfr15k3n0005eqtwd3kximxa,1L,,1,1758320496926,1758320496926
cmfrex8ki000beq1cqo2vkq6e,Limon Qabyuyan Maye - Miray,limon-qabyuyan-maye-miray-16927x,"Hər növ qabların metal, farfor, şüşə, plastik qabların yuyulmasında bir neçı damcı tökərək istifadə edə bilərsiniz. Qabların məhlul içində yuyulması üçün 5lt suya 1 çay qaşığı mayeni əlavə edin. Əli qurutmur, yağları mükəmməl təmizləyir. Xoşagəlməz qoxunu aradan qaldırır.

Tərkibi:
5%-15% anionik aktiv maddə, 5% qeyri-anionik aktiv maddə, aromatizator, rəngləndirici

Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.",/uploads/1758321065515-miray-limon-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,20L,,0,1758320997282,1758324783108
cmfrf7zw5000deq1cj94o0pk6,Okean Maye Sabun,okean-maye-sabun-63fnrd,,/uploads/1758321498525-okean-maye-sabun-1.png,cmfr15k3g0004eqtw45yjynuo,450ml,,1,1758321499253,1758321499253
cmfrfhz1u000feq1c1swi9pxq,Limon Duru Ağardıcı,limon-duru-agardici-c4tkfj,"Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.",/uploads/1758322037999-1litr-limon-duru-agardici.png,cmfr15k310002eqtwu8y96pi4,1L,,0,1758321964723,1758322038481
cmfrfra2u000heq1ct71i29is,Alma Qabyuyan Maye - 7June,alma-qabyuyan-maye-7june-5moidu,"Hər növ qabların metal, farfor, şüşə, plastik qabların yuyulmasında bir neçı damcı tökərək istifadə edə bilərsiniz. Qabların məhlul içində yuyulması üçün 5lt suya 1 çay qaşığı mayeni əlavə edin. Əli qurutmur, yağları mükəmməl təmizləyir. Xoşagəlməz qoxunu aradan qaldırır.

Tərkibi:
5%-15% anionik aktiv maddə, 5% qeyri-anionik aktiv maddə, aromatizator, rəngləndirici

Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.
",/uploads/1758325091078-1litr-alma-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,1L,,1,1758322398918,1758330580185
cmfrh9ij4000jeq1ciag89qyi,Limon Qabyuyan Maye - 7June,limon-qabyuyan-maye-7june-2j5wqo,"Hər növ qabların metal, farfor, şüşə, plastik qabların yuyulmasında bir neçı damcı tökərək istifadə edə bilərsiniz. Qabların məhlul içində yuyulması üçün 5lt suya 1 çay qaşığı mayeni əlavə edin. Əli qurutmur, yağları mükəmməl təmizləyir. Xoşagəlməz qoxunu aradan qaldırır.

Tərkibi:
5%-15% anionik aktiv maddə, 5% qeyri-anionik aktiv maddə, aromatizator, rəngləndirici

Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.
",/uploads/1758324928775-1litr-limon-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,1L,,0,1758324929294,1758330567144
cmfrhuink000leq1cd7avk5sk,Aloe Maye Sabun,aloe-maye-sabun-jz3g6z,,/uploads/1758325908651-aloe-maye-sabun.png,cmfr15k3g0004eqtw45yjynuo,450ml,,0,1758325909233,1758325909233
cmfrhzcou000neq1cilpr587y,Gül Maye Sabun,gul-maye-sabun-aqmuws,,/uploads/1758326134203-gul-maye-sabun.png,cmfr15k3g0004eqtw45yjynuo,450ml,,0,1758326134769,1758328171950
cmfrid7if0001eq1okjfzgywp,5 in 1 Limon Qabyuyan Maye,5-in-1-limon-qabyuyan-maye-q2v4bs,,/uploads/1758326781011-5-in-1-1litr-limon-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,1L,,0,1758326781255,1758326781255
cmfriqkkk0003eq1oyp1ne0u6,5 in 1 Alma Qabyuyan Maye,5-in-1-alma-qabyuyan-maye-f4y6ng,,/uploads/1758327532790-5-in-1-1litr-alma-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,1L,,0,1758327404709,1758327533027
cmfrj175q0005eq1oegcq0ckz,Alma Qabyuyan Maye,alma-qabyuyan-maye-147two,"Hər növ qabların metal, farfor, şüşə, plastik qabların yuyulmasında bir neçı damcı tökərək istifadə edə bilərsiniz. Qabların məhlul içində yuyulması üçün 5lt suya 1 çay qaşığı mayeni əlavə edin. Əli qurutmur, yağları mükəmməl təmizləyir. Xoşagəlməz qoxunu aradan qaldırır.

Tərkibi:
5%-15% anionik aktiv maddə, 5% qeyri-anionik aktiv maddə, aromatizator, rəngləndirici

Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.",/uploads/1758327900046-4l-alma-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,4L,,0,1758327900542,1758327900542
cmfrj95n70007eq1oo86tr6ag,Limon Qabyuyan Maye,limon-qabyuyan-maye-dhxhtg,"Hər növ qabların metal, farfor, şüşə, plastik qabların yuyulmasında bir neçı damcı tökərək istifadə edə bilərsiniz. Qabların məhlul içində yuyulması üçün 5lt suya 1 çay qaşığı mayeni əlavə edin. Əli qurutmur, yağları mükəmməl təmizləyir. Xoşagəlməz qoxunu aradan qaldırır.

Tərkibi:
5%-15% anionik aktiv maddə, 5% qeyri-anionik aktiv maddə, aromatizator, rəngləndirici

Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.",/uploads/1758328271609-4l-limon-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,4L,,0,1758328271827,1758328271827
cmfrjcypn0009eq1ogglo4305,Gül Qabyuyan Maye,gul-qabyuyan-maye-z6g3cz,"Hər növ qabların metal, farfor, şüşə, plastik qabların yuyulmasında bir neçı damcı tökərək istifadə edə bilərsiniz. Qabların məhlul içində yuyulması üçün 5lt suya 1 çay qaşığı mayeni əlavə edin. Əli qurutmur, yağları mükəmməl təmizləyir. Xoşagəlməz qoxunu aradan qaldırır.

Tərkibi:
5%-15% anionik aktiv maddə, 5% qeyri-anionik aktiv maddə, aromatizator, rəngləndirici

Ehtiyyat tədbirləri:
Uşaqların əli çatmayacaq yerdə saxlayın. Bir başa günəş işığından və oddan qoruyun.",/uploads/1758328449196-4l-gulqab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,4L,,0,1758328449468,1758328449468
cmfrjwlwq0001eq808al8r9w4,3-lü Effekt Limon Qabyuyan Maye,3-lu-effekt-limon-qabyuyan-maye-8dscg9,,/uploads/1758329365744-3-lulimon-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,1L,,0,1758329365994,1758329365994
cmfrketq30003eq80adc8ne97,5 in 1 Limon Qabyuyan Maye,5-in-1-limon-qabyuyan-maye-p4klu2,,/uploads/1758330215754-5-in-1-5litr-limon-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,5L,,0,1758330215932,1758330215932
cmfrkfais0005eq807c09b8d4,5 in 1 Alma Qabyuyan Maye,5-in-1-alma-qabyuyan-maye-d02yov,,/uploads/1758330237476-5-in-1-5litr-alma-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,5L,,0,1758330237700,1758330237700
cmfrklxi60007eq80vwe8zdp6,Alma Qabyuyan Maye - 7June,alma-qabyuyan-maye-7june-8xwio4,,/uploads/1758330547190-5litr-alma-qab-maye.png,cmfr15k2s0001eqtwpz7ln9qc,5L,,0,1758330547423,1758330547423
cmfrkpg0g0009eq802sncmfp7,Limon Qabyuyan Maye - 7June,limon-qabyuyan-maye-7june-4yfh8f,,/uploads/1758331280928-5litr-limon-qab-maye-2.png,cmfr15k2s0001eqtwpz7ln9qc,5L,,0,1758330711376,1758331281151
